1,Mercedes,mercedes
2,Red Bull,red_bull
3,Ferrari,ferrari
4,McLaren,mclaren
5,Alpine,alpine
6,AlphaTauri,alphatauri
7,Aston Martin,aston_martin
8,Alfa Romeo,alfa_romeo
9,Williams,williams
10,Haas,haas
